"name","x","y","z"
"WCChromeNativeMessagingHost.exe","0.306910971686429","2.1441488265262","1.61111575095896"
"DsmUserTask.exe","0.088733546103671","-0.784895776550362","-0.0946202304278827"
"rm.exe","2.92177532360302","-0.387165535997978","1.06351535453097"
"bash.exe","2.81483975688711","-0.241772034962629","0.465304717575793"
"mkdir.exe","1.43809325984379","-0.179281576706048","0.508609467836915"
"devenv.exe","0.0300933517175404","-1.54273032614863","-0.588472223927733"
"grep.exe","2.9341478816829","-1.30668745847823","0.0766998251948637"
"SppExtComObj.Exe","-1.56870080281271","-1.34588892028817","-0.601855248837519"
"slui.exe","-0.578901982739427","-1.01069436445581","-0.532924523898785"
"ScriptedSandbox64.exe","1.15667837762585","-0.573132143745313","-0.386532551046038"
"MSBuild.exe","1.0810512229241","-1.056385590985","-0.230818301096507"
